,Product_name,Prices,Description,Reviews
10,"vivo T4 Pro 5G (Blaze Gold, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 2MP + 50MP | 32MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
11,"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)","₹27,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
12,"MOTOROLA Edge 60 Pro (Pantone Sparkling Grape, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 10MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
13,"Samsung Galaxy A36 5G (Awesome Black, 128 GB)","₹28,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
14,"OPPO K13 Turbo 5G (White Knight, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera7000 mAh BatteryDimensity 8450 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
15,"MOTOROLA Edge 60 Pro (Pantone Walnut, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 10MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
16,"Samsung Galaxy A36 5G (Awesome White, 128 GB)","₹28,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
17,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹15,499",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2
18,"vivo T4 5G (Phantom Grey, 256 GB)","₹28,999",12 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera7300 mAh BatterySnapdragon 7s Gen 3 5G Processor1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories,4.4
19,"realme 16T 5G (Starlight Red, 128 GB)","₹29,999",6 GB RAM | 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP + 2MP | 16MP Front Camera8000 mAh lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,3.8
20,"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)","₹27,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
21,"realme P4 Pro 5G (Midnight Ivy, 256 GB)","₹28,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP + 8MP | 50MP Front Camera7000 mAh BatterySnapdragon 7 Gen 4 Mobile Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
22,"vivo T4 5G (Emerald Blaze, 256 GB)","₹26,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera7300 mAh BatterySnapdragon 7s Gen 3 5G Processor1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories,4.4
23,"realme P4 Power 5G (TransSilver, 128 GB)","₹28,999",8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | Yes10001 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
24,"vivo T4 5G (Phantom Grey, 256 GB)","₹26,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera7300 mAh BatterySnapdragon 7s Gen 3 5G Processor1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories,4.4
25,"IQOO Z10R 5G (Moonstone, 256 GB)","₹27,500",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera5700 mAh Battery1 Year Warranty,4.4
26,"realme P4R 5G (Silver Glare, 128 GB)","₹18,999",4 GB RAM | 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera | 8MP Front Camera8000 mAh Lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
27,"realme P3 Ultra 5G (Neptune Blue, 128 GB)","₹26,999",8 GB RAM | 128 GB ROM17.35 cm (6.83 inch) Display50MP + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 8350 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
28,"Samsung Galaxy F56 5G (Green, 128 GB)","₹29,689",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 12MP Front Camera5000 mAh BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
29,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 5MP | 13MP Front Camera5000 mAh BatterySamsung Exynos 1380 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
30,"MOTOROLA Edge 70 (PANTONE Lily Pad, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP | 50MP Front Camera5000 mAh BatterySnapdragon® 7 Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
31,"realme P3 Ultra 5G (Orion Red, 128 GB)","₹26,999",8 GB RAM | 128 GB ROM17.35 cm (6.83 inch) Display50MP + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 8350 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
32,"realme P3 Ultra 5G (Orion Red, 256 GB)","₹28,999",8 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 8350 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
33,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)","₹27,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
34,"REDMI Note 15 5G (Black, 128 GB)","₹24,830",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display108MP Rear Camera5520 mAh Battery12 Months Brand Warranty,4.4
35,"realme P4 Pro 5G (Birch Wood, 256 GB)","₹28,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP + 8MP | 50MP Front Camera7000 mAh BatterySnapdragon 7 Gen 4 Mobile Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
36,"IQOO Z10R 5G (Aquamarine, 256 GB)","₹27,800",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera5700 mAh Battery1 Year Warranty,4.4
37,"vivo T4 Pro 5G (Nitro Blue, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 2MP + 50MP | 32MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
38,"OPPO F29 Pro 5G (Marble White, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera6000 mAh BatteryDimensity 7300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
39,"OPPO K13 Turbo 5G (Purple Phantom, 128 GB)","₹27,999",8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera7000 mAh BatteryDimensity 8450 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
40,"OPPO K13 5G SUPERVOOC (Prism Black, 128 GB)","₹27,990",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP + 2MP | 16MP Front Camera7000 mAh BatterySnapdragon 6 Gen 4 Processor1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories,4.5
41,"IQOO Z11x 5G (Titan Black, 256 GB)","₹27,989",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera7200 mAh Battery12 Months Brand Warranty,4.4
42,"realme 14 Pro+ 5G (Suede Grey, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM17.35 cm (6.83 inch) Display50MP + 50MP + 8MP | 32MP Front Camera6000 mAh Battery7s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
43,"realme 13+ 5G (Victory Gold, 256 GB)","₹25,924",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
44,"OPPO K13 Turbo 5G (Midnight Maverick, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera7000 mAh BatteryDimensity 8450 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
45,"realme Narzo Power 5G (Titan Silver, 256 GB)","₹29,865",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP Rear Camera10001 mAh Battery12 Months Brand Warranty,4
46,"REDMI Note 14 Pro+ 5G (Titan Black, 128 GB)","₹28,499",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP + 50MP + 8MP | 20MP Front Camera6200 mAh Battery7s Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
47,"vivo T4 5G (Emerald Blaze, 128 GB)","₹24,999",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera7300 mAh BatterySnapdragon 7s Gen 3 5G Processor1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories,4.4
48,"REDMI Note 14 Pro+ 5G (Titan Black, 128 GB)","₹28,499",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP + 50MP + 8MP | 20MP Front Camera6200 mAh Battery7s Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
49,"Infinix GT 30 5G+ Pulse Green 256 (Pulse Green, 256 GB)","₹23,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display64MP + 8MP | 13MP Front Camera5500 mAh BatteryDimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
50,"realme P4R 5G (Silver Glare, 128 GB)","₹18,999",4 GB RAM | 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera | 8MP Front Camera8000 mAh Lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
51,"Samsung Galaxy A17 5G (Black, 256 GB)","₹25,499",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera5000 mAh BatterySamsung Exynos 1330 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
52,"Samsung Galaxy A17 5G Charger in the Box (Black, 128 GB)","₹26,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera5000 mAh BatterySamsung Exynos 1330 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
53,"OPPO K13 Turbo 5G (Purple Phantom, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera7000 mAh BatteryDimensity 8450 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
54,"OPPO A6 Pro 5G (Aurora Gold, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.14 cm (6.75 inches) HD+ Display50MP + 2MP | Yes7000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
55,"vivo V60e (Elite Purple, 256 GB)","₹33,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ Display200MP + 8MP | 50MP Front Camera6500 mAh BatteryDimensity 7360-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
56,"MOTOROLA Edge 70 (PANTONE Bronze Green, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP | 50MP Front Camera5000 mAh BatterySnapdragon® 7 Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
57,"Samsung Galaxy A17 5G (Blue, 256 GB)","₹26,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera5000 mAh BatterySamsung Exynos 1330 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
58,"realme 15 5G (Silk Pink, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Display50MP + 8MP | 50MP Front Camera7000 mAh BatteryMediatek Dimensity 7300+ 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
59,"REDMI Note-14 Pro+ 5G (Spectre Blue, 128 GB)","₹28,599",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP + 50MP + 8MP | 20MP Front Camera6200 mAh Battery7s Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
60,"realme P4 Power 5G (TransOrange, 128 GB)","₹28,999",8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | Yes10001 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
61,"REDMI Note-14 Pro+ 5G (Titan Black, 128 GB)","₹28,799",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP + 50MP + 8MP | 20MP Front Camera6200 mAh Battery7s Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
62,"vivo T4 Pro 5G (Blaze Gold, 256 GB)","₹31,999",12 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 2MP + 50MP | 32MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
63,"MOTOROLA Edge 60 Pro (Pantone Dazzling Blue, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 10MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
64,"realme Narzo Power (Titan Silver, 256 GB)","₹29,828",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP Rear Camera10001 mAh Battery12 months,3.9
65,"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)","₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,4.4
66,"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹18,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,4.4
67,"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","₹20,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,4.4
68,"REDMI Note 14 Pro+ 5G (Phantom Purple, 256 GB)","₹30,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP + 50MP + 8MP | 20MP Front Camera6200 mAh Battery7s Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
69,"POCO X6 Pro 5G (Racing Grey, 256 GB)","₹26,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display64MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity D8300 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
70,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹15,499",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2
71,"realme Narzo Power 5G (Titan Blue, 256 GB)","₹29,882",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP Rear Camera10001 mAh Battery12 Months Brand Warranty,4
72,"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","₹20,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,4.4
73,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)","₹24,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
74,"realme NARZO 80 Pro 5G (Nitro Orange, 256 GB)","₹25,890",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6000 mAh Battery1 Year Handset Warranty and 6 Months Warranty on Accessories,4.4
75,"realme P3 Ultra 5G (Glowing Lunar White, 128 GB)","₹26,999",8 GB RAM | 128 GB ROM17.35 cm (6.83 inch) Display50MP + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 8350 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
76,"realme P4R 5G (Silver Glare, 128 GB)","₹18,999",4 GB RAM | 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera | 8MP Front Camera8000 mAh Lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
77,"POCO X7 Pro 5G (Nebula Green, 256 GB)","₹25,999",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP + 8MP | 20MP Front Camera6550 mAh BatteryDimensity D8400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
78,"realme Narzo 80 Pro 5G (Speed Silver, 256 GB)","₹26,338",12 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera6000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.5
79,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹13,999",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2
80,"REDMI Note-14 Pro+ 5G (Phantom Purple, 128 GB)","₹28,496",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP + 50MP + 8MP | 20MP Front Camera6200 mAh Battery7s Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
81,"realme P3 5G (Space Silver, 256 GB)","₹18,499",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera6000 mAh Battery6 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
82,"Samsung Galaxy A37 5G (Awesome Lavender, 256 GB)","₹45,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Super AMOLED Display50MP + 8MP | 12MP Front Camera5000 mAh Li-ion BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
83,"realme P2 Pro 5G (Parrot Green, 128 GB)","₹17,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5200 mAh Battery7s Gen2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
84,"realme 14 Pro 5G (Suede Grey, 256 GB)","₹26,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera6000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
85,"Samsung Galaxy F55 5G (Apricot Crush, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 50MP Front Camera5000 mAh Battery7 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4
86,"realme Narzo Power (Titan Blue, 256 GB)","₹29,828",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP Rear Camera10001 mAh Battery12 months,3.9
87,"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","₹18,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,4.4
88,"Infinix GT 30 Pro 5G+ (Blade White, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display108MP + 8MP | 13MP Front Camera5500 mAh BatteryDimensity 8350 Ultimate Processor1 Year Warranty for Handset and 6 Months Warranty for Accessories,4.3
89,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹20,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,4.4
90,"OPPO A6 5G (Sapphire Blue, 256 GB)","₹25,999",6 GB RAM | 256 GB ROM17.14 cm (6.75 inch) HD+ Display50MP + 2MP | Yes7000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.1
